Open,Close,High,Low,Volume,Date
82.62,82.87,83.3,81.34,,01/30/24
84.13,82.4,84.8,82.03,,01/29/24
82.44,83.55,83.81,81.31,,01/26/24
80.31,82.43,82.57,80.06,,01/25/24
79.56,80.04,80.73,79.05,,01/24/24
79.92,79.55,80.43,78.7,,01/23/24
78.89,80.06,80.55,77.81,,01/22/24
79.1,78.56,79.73,78.32,,01/19/24
78.15,79.1,79.3,77.33,,01/18/24
77.77,77.88,78.19,76.5,,01/17/24
78.43,78.29,79.4,77.6,,01/16/24
78.14,78.15,78.9,76.85,,01/15/24
78.75,78.29,80.75,77.96,,01/12/24
76.7,77.41,79.1,76.66,,01/11/24
77.48,76.8,78.73,76.38,,01/10/24
76.3,77.59,78.19,75.95,,01/09/24
78.7,76.12,78.95,75.26,,01/08/24
77.71,78.76,79.26,77.66,,01/05/24
78.56,77.59,79.41,76.5,,01/04/24
76.06,78.25,78.67,74.79,,01/03/24
77.39,75.89,79.06,75.6,,01/02/24
77.38,77.04,77.98,76.73,,12/29/23
79.8,78.39,79.95,78.25,,12/28/23
80.79,79.65,81.33,79.29,,12/27/23
79.04,81.07,81.72,78.76,,12/26/23
79.35,79.07,80.37,78.88,,12/22/23
79,79.39,80.13,77.81,,12/21/23
79.17,79.7,80.6,79.07,,12/20/23
78.06,79.23,79.67,77.41,,12/19/23
76.8,77.95,79.51,75.76,,12/18/23
76.66,76.55,77.23,75.29,,12/15/23
74.76,76.61,77.35,74.44,,12/14/23
73.26,74.26,74.7,72.29,,12/13/23
76.17,73.24,76.66,72.86,,12/12/23
75.73,76.03,76.5,75.01,,12/11/23
74.59,75.84,76.36,74.2,,12/08/23
74.5,74.05,75.48,73.6,,12/07/23
77.12,74.3,77.65,74.11,,12/06/23
78.1,77.2,79.09,77,,12/05/23
79.5,78.03,79.72,77.52,,12/04/23
80.67,78.88,81.54,78.75,,12/01/23
82.78,82.83,84.75,82.58,,11/30/23
81.91,83.1,83.25,80.96,,11/29/23
80.19,81.68,82.16,79.8,,11/28/23
80.4,79.98,81.17,79.13,,11/27/23
81.4,80.58,82.2,80.13,,11/24/23
81.6,81.42,81.63,80.19,,11/23/23
82.47,81.96,82.65,78.41,,11/22/23
82.13,82.45,82.54,81.43,,11/21/23
80.3,82.32,82.94,79.58,,11/20/23
77.55,80.61,80.81,77.28,,11/17/23
80.98,77.42,81.17,76.6,,11/16/23
82.39,81.18,83.04,80.79,,11/15/23
82.71,82.47,83.97,82.06,,11/14/23
81.43,82.52,82.84,80.41,,11/13/23
79.85,81.43,82.06,79.79,,11/10/23
79.7,80.01,81.48,79.44,,11/09/23
81.4,79.54,81.96,79.2,,11/08/23
85.15,81.61,85.19,81.4,,11/07/23
85.55,85.18,86.46,84.88,,11/06/23
86.92,84.89,87.8,84.56,,11/03/23
85,86.85,87.05,84.64,,11/02/23
0,84.63,87.24,84.58,,11/01/23
87.9,87.41,88.61,87.4,,10/31/23
90.07,87.45,90.15,87.2,,10/30/23
88.4,90.48,90.75,87.83,,10/27/23
89.92,87.93,90.4,87.53,,10/26/23
88.04,90.13,90.35,86.68,,10/25/23
90.47,88.07,90.68,87.35,,10/24/23
92.11,89.83,92.45,89.62,,10/23/23
93.23,92.16,93.79,91.66,,10/20/23
91.35,92.38,93.48,89.57,,10/19/23
91.25,91.5,93,90.6,,10/18/23
89.91,89.9,91,88.88,,10/17/23
90.98,89.65,91.39,89.5,,10/16/23
86.35,90.89,91,86.28,,10/13/23
85.53,86,87.64,85.18,,10/12/23
87.72,85.82,88.26,85.21,,10/11/23
88.17,87.65,88.49,86.91,,10/10/23
86.45,88.15,89,86,,10/09/23
84.49,84.58,84.95,83.44,,10/06/23
85.88,84.07,86.52,83.84,,10/05/23
91.04,85.81,91.21,85.75,,10/04/23
90.4,90.92,91.56,89.5,,10/03/23
92.18,90.71,93.33,90.35,,10/02/23
95.07,92.2,96.26,94.9,,09/29/23
96.74,95.38,97.69,94.76,,09/28/23
94.12,96.55,97.06,94.1,,09/27/23
93.28,93.96,94.21,91.8,,09/26/23
93.75,93.29,94.25,92.54,,09/25/23
93.37,93.27,94.64,92.8,,09/22/23
93.08,93.3,94.6,92.2,,09/21/23
94.49,93.53,94.72,92.76,,09/20/23
94.66,94.34,95.96,94.16,,09/19/23
94.28,94.43,94.95,93.79,,09/18/23
94.02,93.93,94.63,92.67,,09/15/23
92.04,93.7,94.21,92.02,,09/14/23
92.04,91.88,92.84,91.63,,09/13/23
90.62,92.06,92.4,90.52,,09/12/23
90.83,90.64,91.45,90.11,,09/11/23
89.79,90.65,91.02,89.3,,09/08/23
90.81,89.92,90.89,89.46,,09/07/23
90.12,90.6,91.1,89.25,,09/06/23
88.91,90.04,91.15,88.06,,09/05/23
88.95,89,89.22,88.26,,09/04/23
86.82,88.55,88.99,86.74,,09/01/23
86,86.86,86.94,85.74,,08/31/23
85.62,85.86,86.23,85.11,,08/30/23
84.39,85.49,85.65,83.8,,08/29/23
84.87,84.42,85.23,84.11,,08/28/23
83.26,84.48,84.97,82.67,,08/25/23
82.95,83.36,83.62,81.97,,08/24/23
83.99,83.21,84.26,81.94,,08/23/23
84.46,84.03,84.66,83.85,,08/22/23
84.8,84.46,85.86,84.31,,08/21/23
83.88,84.8,85.08,83.33,,08/18/23
83.2,84.12,84.88,83.05,,08/17/23
85.2,83.45,85.36,83.13,,08/16/23
86.12,84.89,86.68,84.29,,08/15/23
86.53,86.21,86.71,85.5,,08/14/23
86.37,86.81,87.35,85.84,,08/11/23
87.39,86.4,88.1,86.2,,08/10/23
86,87.55,87.65,85.91,,08/09/23
85.79,86.17,86.34,83.32,,08/08/23
86.23,85.34,86.73,85.03,,08/07/23
85.31,86.24,86.65,85.06,,08/04/23
83.46,85.14,85.41,82.36,,08/03/23
85.86,83.2,85.99,82.74,,08/02/23
85.24,84.91,85.91,84.21,,08/01/23
84.95,85.56,85.8,84.4,,07/31/23
83.71,84.99,85.09,83.22,,07/28/23
82.93,84.24,84.5,82.93,,07/27/23
83.19,82.92,83.85,82.58,,07/26/23
82.85,83.64,83.87,82.22,,07/25/23
80.95,82.74,83.16,80.42,,07/24/23
79.78,81.07,81.24,79.65,,07/21/23
79.33,79.64,80.27,78.66,,07/20/23
79.84,79.46,80.93,79.17,,07/19/23
78.52,79.63,79.99,78.19,,07/18/23
79.36,78.5,80.64,78.25,,07/17/23
81.64,79.87,81.7,79.53,,07/14/23
80.19,81.36,81.75,79.88,,07/13/23
79.32,80.11,80.55,79.21,,07/12/23
77.82,79.4,79.5,77.63,,07/11/23
78.6,77.69,78.77,77.36,,07/10/23
76.52,78.47,78.54,76.03,,07/07/23
76.7,76.52,77.09,75.03,,07/06/23
76.03,76.65,76.95,75.3,,07/05/23
74.89,76.25,76.29,74.74,,07/04/23
75.11,74.65,76.6,74.56,,07/03/23
74.22,75.41,75.4,74.21,,06/30/23
73.72,74.34,74.98,73.39,,06/29/23
72.62,74.03,74.2,71.57,,06/28/23
74.28,72.26,74.9,72.08,,06/27/23
0,74.18,0,0,,06/26/23
74.02,73.85,74.44,72.11,,06/23/23
77.03,74.14,77.2,73.59,,06/22/23
75.54,77.12,77.24,75.52,,06/21/23
76.12,75.9,77.15,74.51,,06/20/23
76.4,76.09,76.93,75.34,,06/19/23
75.64,76.61,76.74,75.08,,06/16/23
73.41,75.67,75.97,72.91,,06/15/23
74.05,73.2,75.49,73.03,,06/14/23
72.11,74.29,74.66,71.94,,06/13/23
74.87,71.84,74.87,71.58,,06/12/23
75.53,74.79,76.57,74.71,,06/09/23
76.8,75.96,77.68,73.58,,06/08/23
76.22,76.95,77.64,75.51,,06/07/23
76.55,76.29,76.75,74.72,,06/06/23
77.68,76.71,78.73,76.31,,06/05/23
74.28,76.13,76.5,74.18,,06/02/23
72.15,74.28,75.25,72.03,,06/01/23
73.6,72.66,73.81,71.39,,05/31/23
76.98,73.54,77.57,73.2,,05/30/23
77.39,77.07,77.75,76.15,,05/29/23
76.09,76.95,77.35,75.73,,05/26/23
78.22,76.26,78.5,75.1,,05/25/23
77.7,78.36,78.66,77.03,,05/24/23
76.15,76.84,77.74,75.65,,05/23/23
75.63,75.99,76.46,74.55,,05/22/23
76.03,75.58,77.5,75.12,,05/19/23
76.78,75.86,76.99,75.5,,05/18/23
74.67,76.96,77.31,74.1,,05/17/23
75.55,74.91,75.95,74.5,,05/16/23
74.15,75.23,75.75,73.49,,05/15/23
75.35,74.17,75.85,74.03,,05/12/23
76.62,74.98,77.41,74.61,,05/11/23
77.36,76.41,77.6,75.68,,05/10/23
76.71,77.44,77.5,75.07,,05/09/23
75.23,77.01,77.43,74.95,,05/08/23
72.69,75.3,75.75,72.41,,05/05/23
71.28,72.5,73.72,71.28,,05/04/23
75.31,72.33,75.58,71.7,,05/03/23
79.28,75.32,79.78,75.07,,05/02/23
80.11,79.31,80.24,78.13,,05/01/23
78.25,80.33,79.61,77.69,,04/28/23
77.77,78.37,78.61,77.39,,04/27/23
80.92,77.69,81.47,77.46,,04/26/23
82.59,80.77,83.06,80.35,,04/25/23
81.87,82.73,82.99,80.48,,04/24/23
80.79,81.66,82.05,80.45,,04/21/23
82.75,81.1,82.92,80.77,,04/20/23
84.9,83.12,85.15,82.39,,04/19/23
84.74,84.77,85.41,83.81,,04/18/23
86.43,84.76,86.52,84.34,,04/17/23
86.18,86.31,86.87,85.53,,04/14/23
87.19,86.09,87.47,86.05,,04/13/23
85.59,87.33,87.49,85.39,,04/12/23
84.24,85.61,85.67,83.75,,04/11/23
